"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SPINACH","SPINACH - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SQUASH","SQUASH - ACRES HARVESTED","TOTAL","NOT SPECIFIED","723","8.2"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","69","6.5"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))","5","44.9"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)","5","44.9"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)","63","4.0"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)","63","4.0"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","955","18.7"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","13","11.0"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","196","12.2"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)","193","12.4"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (1 PRODUCERS)","423","15.4"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (2 PRODUCERS)","364","37.0"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (3 TO 4 PRODUCERS)","253","38.6"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (5 OR MORE PRODUCERS)","192","22.8"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,232","15.7"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)","13","18.5"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)","13","18.5"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","1,019","29.7"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","561","2.0"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)","543","0.2"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (1 PRODUCERS)","730","9.8"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (2 PRODUCERS)","499","19.9"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (3 TO 4 PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (5 OR MORE PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,599","19.4"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)","12","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)","12","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","157","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","9","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS, PRINCIPAL: (SEX = FEMALE)","271","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (1 PRODUCERS)","58","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (2 PRODUCERS)","130","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (3 TO 4 PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (5 OR MORE PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","320","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","321","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","SPINACH","SPINACH - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","SQUASH","SQUASH - ACRES HARVESTED","TOTAL","NOT SPECIFIED","21","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (1 PRODUCERS)","1","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (2 PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (5 OR MORE PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","3","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (1 PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (2 PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (3 TO 4 PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4","(L)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (1 PRODUCERS)","2,422","0.1"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (2 PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (3 TO 4 PRODUCERS)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","PRODUCERS","PRODUCERS: (5 OR MORE PRODUCERS)","3","89.4"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,767","0.2"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SPINACH","SPINACH - ACRES HARVESTED","TOTAL","NOT SPECIFIED","10,760","0.1"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SQUASH","SQUASH - ACRES HARVESTED","TOTAL","NOT SPECIFIED","428","23.7"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","20","17.8"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)","20","17.8"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)","20","17.8"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","44","79.8"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","54","7.8"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","4","23.1"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (1 PRODUCERS)","55","59.7"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (2 PRODUCERS)","53","16.3"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (3 TO 4 PRODUCERS)","12","35.2"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (5 OR MORE PRODUCERS)","1","64.6"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","SWEET CORN","SWEET CORN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","122","32.2"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION)","20","27.7"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))","2","(L)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)","2","(L)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)","17","31.5"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)","17","31.5"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","32","15.7"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","5","30.3"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","2","44.5"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","ORGANIZATION","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)","2","44.5"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (1 PRODUCERS)","17","14.0"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (2 PRODUCERS)","25","15.9"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (3 TO 4 PRODUCERS)","16","34.3"
